,Configuration,Phase,Inverse temperature
151,"[[-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [-1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1 -1 -1]
 [-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1]
 [-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [-1 -1 -1 -1 -1 -1  1 -1 -1 -1  1 -1 -1 -1 -1 -1]
 [-1 -1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1 -1 -1]
 [-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1]]",0,0.5374246663796814
303,"[[ 1  1  1  1  1 -1 -1 -1 -1 -1 -1 -1  1  1  1  1]
 [ 1  1  1  1  1  1 -1  1  1 -1  1  1  1  1  1  1]
 [ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1]
 [ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1]
 [ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1]
 [ 1  1  1  1  1  1  1  1  1 -1  1  1  1  1  1  1]
 [ 1  1  1  1  1  1  1  1  1 -1  1  1  1  1  1  1]
 [ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1]
 [ 1  1 -1  1  1  1  1  1  1  1  1  1  1  1  1  1]
 [ 1 -1 -1  1  1  1  1  1  1  1  1  1  1  1  1  1]
 [ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1]
 [ 1  1 -1  1  1 -1  1  1  1  1  1  1  1  1  1  1]
 [ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1]
 [ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1]
 [ 1 -1 -1  1  1  1  1  1  1  1  1  1  1 -1  1  1]
 [ 1 -1  1  1 -1 -1 -1 -1  1  1  1  1  1  1  1  1]]",0,0.45586288739787306
634,"[[-1  1 -1 -1 -1  1  1  1  1  1  1  1 -1  1  1  1]
 [-1 -1 -1  1  1  1  1  1  1  1 -1  1 -1 -1  1  1]
 [-1 -1  1  1  1  1  1  1  1  1 -1 -1 -1  1 -1  1]
 [-1  1 -1 -1 -1  1  1  1  1 -1 -1 -1 -1  1  1  1]
 [-1 -1 -1 -1 -1  1 -1 -1  1 -1 -1 -1  1  1  1  1]
 [-1  1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1  1  1  1 -1]
 [-1 -1 -1 -1 -1  1  1  1  1  1  1  1 -1  1  1 -1]
 [-1 -1 -1 -1 -1 -1 -1  1 -1 -1  1 -1  1  1 -1 -1]
 [-1 -1 -1  1 -1 -1  1  1  1 -1 -1  1  1  1  1 -1]
 [-1 -1  1  1 -1  1  1  1 -1 -1 -1 -1  1  1  1 -1]
 [-1 -1  1 -1 -1  1 -1  1  1  1  1  1  1  1  1 -1]
 [-1 -1 -1 -1 -1 -1  1 -1 -1  1 -1 -1 -1  1  1 -1]
 [-1 -1 -1 -1 -1  1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1]
 [-1 -1 -1 -1  1  1  1  1  1  1  1  1  1 -1 -1  1]
 [-1 -1 -1 -1  1  1  1 -1 -1 -1  1  1  1  1 -1  1]
 [-1 -1  1 -1 -1  1 -1  1  1  1  1  1  1  1  1  1]]",1,0.34262876452098445
669,"[[ 1  1  1  1  1 -1  1  1  1  1 -1 -1  1  1  1  1]
 [ 1  1  1  1  1  1  1  1  1  1  1  1 -1  1  1  1]
 [ 1  1 -1 -1 -1  1  1  1  1  1  1  1 -1 -1  1  1]
 [-1  1 -1 -1 -1 -1 -1  1 -1 -1 -1 -1 -1  1 -1 -1]
 [ 1  1 -1 -1 -1 -1 -1  1  1 -1  1 -1 -1 -1 -1 -1]
 [ 1  1  1 -1 -1  1 -1 -1  1  1  1 -1 -1 -1 -1 -1]
 [-1  1  1 -1 -1  1 -1 -1 -1 -1  1 -1 -1 -1 -1  1]
 [-1 -1 -1 -1 -1  1 -1 -1  1 -1 -1 -1 -1 -1 -1 -1]
 [ 1 -1 -1  1 -1 -1  1 -1 -1 -1 -1 -1 -1 -1 -1  1]
 [-1 -1  1  1  1  1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1]
 [-1 -1  1  1 -1 -1 -1  1 -1 -1 -1  1  1  1  1 -1]
 [-1 -1  1  1 -1 -1 -1  1 -1 -1  1  1 -1  1  1 -1]
 [-1 -1  1  1 -1 -1 -1  1 -1 -1 -1  1 -1  1 -1 -1]
 [-1 -1  1  1  1 -1 -1 -1 -1 -1 -1  1  1  1  1 -1]
 [-1 -1  1  1  1  1  1  1  1  1  1  1 -1  1  1  1]
 [ 1  1  1  1  1  1  1  1  1  1  1  1  1  1 -1  1]]",1,0.3338598206600313
738,"[[-1  1 -1 -1 -1  1  1  1 -1 -1 -1  1  1  1  1 -1]
 [-1 -1  1  1  1  1  1 -1 -1 -1 -1  1 -1 -1  1  1]
 [-1 -1  1  1  1  1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [-1 -1  1  1  1  1  1 -1 -1 -1 -1  1 -1 -1 -1 -1]
 [-1 -1 -1  1 -1 -1 -1 -1 -1 -1  1 -1 -1  1  1 -1]
 [-1 -1 -1  1 -1 -1 -1 -1  1  1  1  1  1  1  1 -1]
 [-1  1 -1  1  1 -1 -1 -1  1  1  1  1  1  1 -1 -1]
 [-1 -1 -1 -1  1  1 -1 -1 -1  1  1 -1  1  1 -1 -1]
 [ 1 -1 -1  1  1  1 -1 -1 -1 -1  1  1  1  1 -1 -1]
 [-1  1 -1  1  1  1  1  1  1 -1  1 -1 -1 -1 -1  1]
 [ 1  1  1  1  1  1  1 -1 -1 -1  1 -1 -1 -1 -1  1]
 [ 1 -1  1  1  1 -1  1 -1  1  1  1  1 -1 -1 -1 -1]
 [-1 -1  1 -1  1 -1  1 -1  1 -1 -1  1 -1 -1  1  1]
 [ 1 -1  1 -1 -1  1  1 -1 -1 -1 -1  1  1  1  1  1]
 [-1 -1 -1 -1 -1  1  1  1  1  1 -1  1  1  1  1 -1]
 [-1 -1 -1 -1  1  1  1  1  1  1 -1  1  1  1  1 -1]]",1,0.31782399949084517
180,"[[ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1]
 [ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1]
 [ 1  1  1  1  1  1  1  1  1  1  1  1 -1  1  1  1]
 [ 1  1  1  1  1  1  1  1  1  1  1  1 -1  1  1  1]
 [ 1  1  1  1  1  1 -1 -1  1  1  1  1  1  1  1  1]
 [ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1]
 [ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1]
 [ 1  1  1  1  1  1  1 -1  1  1  1  1 -1  1  1  1]
 [ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1]
 [ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1]
 [ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1]
 [ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1]
 [ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1]
 [ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1]
 [ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1]
 [ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1]]",0,0.519684936941859
407,"[[-1 -1 -1 -1 -1  1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1]
 [-1 -1 -1 -1  1  1 -1 -1 -1 -1  1  1 -1 -1 -1 -1]
 [-1 -1  1 -1  1  1  1 -1 -1 -1 -1  1 -1 -1 -1 -1]
 [-1 -1 -1 -1  1  1 -1 -1 -1  1  1  1  1 -1 -1 -1]
 [ 1  1 -1 -1  1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [ 1 -1 -1 -1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [ 1 -1 -1 -1 -1 -1 -1  1  1 -1  1  1 -1 -1 -1 -1]
 [ 1  1 -1 -1 -1 -1  1  1 -1 -1 -1  1 -1  1 -1 -1]
 [ 1  1 -1 -1 -1  1  1  1 -1 -1 -1  1 -1 -1 -1 -1]
 [ 1  1 -1  1  1  1  1  1  1 -1 -1 -1 -1 -1 -1 -1]
 [-1 -1 -1  1  1  1  1 -1 -1 -1  1  1 -1 -1  1 -1]
 [-1  1 -1  1 -1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [-1 -1 -1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [-1 -1 -1 -1  1  1  1  1 -1 -1 -1  1  1 -1 -1 -1]
 [-1 -1 -1 -1  1  1 -1 -1 -1 -1 -1 -1  1 -1  1 -1]
 [-1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1 -1 -1 -1 -1 -1]]",1,0.4129796559708898
734,"[[-1  1 -1  1  1 -1 -1 -1  1  1 -1 -1 -1  1  1  1]
 [ 1  1 -1  1  1 -1 -1 -1  1  1 -1 -1 -1 -1  1  1]
 [ 1  1  1  1  1  1 -1 -1  1  1  1 -1 -1 -1  1  1]
 [ 1  1  1 -1  1  1 -1 -1 -1 -1 -1 -1 -1 -1  1  1]
 [ 1  1 -1 -1 -1 -1  1 -1 -1 -1 -1 -1 -1  1  1  1]
 [-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1 -1  1 -1 -1]
 [-1  1 -1  1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [-1 -1 -1 -1  1  1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [-1 -1 -1 -1 -1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [ 1  1  1  1  1 -1 -1 -1 -1 -1 -1  1  1 -1 -1 -1]
 [ 1  1  1  1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [ 1  1  1  1  1  1 -1 -1 -1  1 -1 -1 -1 -1 -1  1]
 [ 1  1 -1 -1 -1 -1 -1  1  1  1 -1 -1  1 -1 -1  1]
 [ 1  1 -1 -1  1 -1 -1  1  1  1  1  1  1 -1 -1 -1]
 [ 1  1 -1 -1  1 -1 -1  1  1  1 -1  1 -1 -1 -1 -1]
 [-1 -1 -1 -1  1 -1 -1 -1 -1  1 -1 -1 -1 -1 -1 -1]]",1,0.3187114325261172
613,"[[ 1  1  1  1  1  1  1  1 -1 -1  1 -1 -1  1 -1  1]
 [-1 -1 -1  1  1  1  1 -1 -1 -1  1  1  1 -1 -1 -1]
 [-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1  1  1 -1 -1]
 [-1 -1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [-1 -1 -1 -1  1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [-1 -1 -1 -1  1 -1 -1 -1 -1 -1  1 -1 -1 -1 -1 -1]
 [-1 -1 -1 -1 -1 -1 -1 -1  1  1  1 -1 -1 -1 -1 -1]
 [ 1 -1 -1 -1 -1 -1 -1 -1  1  1 -1 -1 -1 -1 -1 -1]
 [ 1 -1 -1 -1 -1 -1 -1 -1  1  1 -1 -1 -1 -1  1  1]
 [-1 -1 -1 -1 -1  1 -1  1  1  1  1  1 -1  1  1  1]
 [ 1 -1 -1 -1  1 -1 -1  1  1  1  1  1  1 -1 -1  1]
 [ 1  1  1  1  1  1 -1  1  1 -1  1  1  1 -1 -1 -1]
 [ 1  1  1  1  1  1 -1 -1 -1 -1  1  1  1  1 -1  1]
 [ 1  1  1  1  1  1 -1 -1  1 -1  1 -1  1 -1 -1  1]
 [-1 -1 -1 -1  1  1 -1 -1 -1 -1 -1 -1 -1  1  1 -1]
 [-1 -1 -1  1  1 -1 -1  1 -1 -1 -1 -1  1  1  1  1]]",1,0.3481147776683717
554,"[[ 1  1  1  1  1  1 -1 -1 -1 -1 -1 -1 -1 -1  1  1]
 [ 1  1  1  1  1  1 -1 -1 -1 -1 -1  1  1  1  1  1]
 [ 1  1  1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1  1  1]
 [ 1  1  1  1 -1 -1 -1 -1 -1  1  1 -1 -1  1  1  1]
 [ 1  1  1  1  1  1 -1  1  1  1  1 -1 -1  1  1  1]
 [ 1  1  1  1  1  1  1 -1  1  1  1 -1  1  1  1  1]
 [ 1  1  1  1  1 -1  1  1  1  1  1  1 -1  1  1  1]
 [ 1  1  1  1 -1 -1  1  1  1  1 -1 -1 -1  1  1  1]
 [ 1 -1  1 -1 -1 -1  1  1  1 -1 -1  1 -1 -1  1  1]
 [ 1 -1  1 -1 -1 -1 -1  1  1 -1  1  1 -1 -1  1  1]
 [ 1  1 -1 -1  1 -1 -1 -1 -1 -1  1 -1 -1  1 -1 -1]
 [ 1  1  1 -1 -1 -1  1 -1 -1 -1 -1 -1  1  1  1  1]
 [ 1  1  1 -1 -1 -1 -1  1  1  1  1  1 -1  1  1  1]
 [-1  1 -1 -1 -1 -1 -1  1  1 -1 -1 -1 -1 -1  1  1]
 [-1 -1 -1 -1  1 -1 -1  1  1  1 -1 -1 -1 -1  1  1]
 [-1 -1  1  1  1 -1  1 -1  1 -1 -1 -1 -1 -1 -1 -1]]",1,0.3645122880331391
